Andrade et al 2022,"worldview, attitude, risk perception"
Andrade et al 2022 (species traits),"perception of birds, worldview"
Angeoletto et al. 2022,"preferred species, willingness to conserve"
Baker et al. 2014,"preference, importance"
barnes et al. 2020,ideal yard
Belaire et al. 2015,"attitude, perceived diversity"
Belaire et al. 2016,"perceptions, perceived diversity, value of birds"
blair et al. 2016,"attitudes, knowledge, advocacy, worldview"
Cammack et al. 2011,values
Cavender-Bares et al. 2020,attitudes
Clark et al. 2019,"motivations, triggers"
Clucas et al. 2015,"attitude, behavior"
Daniels and Kirkpatrick 2011,"attitudes, nature behaviors"
Dowle and Dean 2008,perceptions
Elizalde and Lambertucci 2022,"perceptions, values"
Engebretson et al. 2020,perceptions
Fardell et al. 2022,behaviors
Fitzgibbon and Jones 2006,"conflict, tolerance, perception, worldview"
Freeman et al. 2012,"values, knowledge"
Garcia-Atunez et al. 2023,"motivations, social norms, barriers, knowledge, perceptions, pro-environmental orientation"
garfinkel et al. 2024,perceptions
Gazzard et al. 2021,"decision to, and reasons why they don't implement hedgehog highway, value of wildlife"
Geppert et al 2024,"values, intended behavior"
Gillon 2014,wildlife perceptions
Goddard 2013,"values, pro-environmental behavior"
Gusto et al. 2023,barriers
Head and Muir 2006,"Social pressure, beliefs"
Hunt et al. 2022,"Motivations, perceptions"
Jones et al. 2021,"advocacy, gardening behavior"
Kalauni et al. 2023,barriers
Larson et al. 2024,"norms, attitudes"
Larson et al. 2021,"attitudes, perceived problems, beliefs, management behaviors"
Larson et al. 2022,"barriers, motivations"
Loram et al. 2011,garden management
Mumaw 2017,"community support, satisfaction from nature"
Mumaw and Mata 2022,"perceived well-being, attachments, perceptions of wildlife, wildlife-gardening behavior"
Noe et al. 2021,"importance of wildlife, engagement with wildlife"
Noe et al. 2023,"perceptions and benefits of gardens, wildlife encounters"
Paterson et al. 2019,"acceptance of pesticide, environmental concern"
Patru-Stupariu 2020,experiences
Patterson et al. 2016,attitudes
Rubino et al. 2020,"attitudes, beliefs, norms, values"
Shama et al. 2019,"gardening behavior, attitudes"
Shaw et al. 2017,"opinions, attitudes"
Straka et al. 2022,"values, beliefs, knowledge, anthropomorphism, acceptability"
Thabethe and Downs 2018,"attachment, ownership"
Uren et al. 2015,"values, beliefs"
van Heezik et al. 2012,"knowledge, values, attitudes, behavior, change after intervention"
van Heezik et al. 2020,"gardening behavior, barriers, knowledge, outcomes, attitudes"
Varga-Szilay and Pozsgal 2022,"behavior, perceptions"
Wheeler et al. 2022,"attitudes, knowledge"
Zhu and Larson 2023,"values, motivations, attitudes"